"policy_id","industry","vehicle_type","territory","fleet_size","years_in_business","driver_age","driver_age_band","exposure","claims","total_loss","severity","pure_premium","freq_lambda","sev_mu"
21,"Healthcare","Light_Truck","Urban",48,28,42,"41–50",0.851420433144085,0,0,NA,0,0.142757664025269,8316
22,"Professional","Light_Truck","Urban",15,28,58,"51–60",0.751682292087935,1,1787.94929758108,1787.94929758108,2378.59707006629,0.0745856754324253,6804
23,"Retail","Delivery_Truck","Suburban",2,6,32,"31–40",0.702988920384087,0,0,NA,0,0.0840774748779368,9100
24,"Healthcare","Delivery_Truck","Urban",44,5,22,"21–30",0.987701129517518,0,0,NA,0,0.232277674628635,12012
25,"Professional","Delivery_Truck","Rural",35,30,46,"41–50",0.999054692918435,0,0,NA,0,0.0795497299236304,6552
26,"Professional","Cargo_Van","Suburban",25,16,56,"51–60",0.842855624039657,0,0,NA,0,0.0678498777351924,6300
27,"Retail","Cargo_Van","Urban",35,27,68,"61–70",0.644941845093854,0,0,NA,0,0.120926595955098,8400
28,"Retail","Cargo_Van","Rural",38,2,24,"21–30",0.511283938540146,0,0,NA,0,0.0458110408931971,5600
29,"Logistics","Light_Truck","Urban",33,26,60,"51–60",0.825216492987238,0,0,NA,0,0.191838078124743,11340
30,"Construction","Light_Truck","Rural",37,27,45,"41–50",0.703684338368475,0,0,NA,0,0.0731923190867202,7056
31,"Healthcare","Cargo_Van","Suburban",9,22,35,"31–40",0.893883553682826,0,0,NA,0,0.0796450246331399,7700
32,"Healthcare","Cargo_Van","Suburban",40,39,62,"61–70",0.637714561773464,0,0,NA,0,0.0746126037274953,7700
33,"Professional","Light_Truck","Suburban",17,28,55,"51–60",0.999531051260419,0,0,NA,0,0.0673783881654649,5670
34,"Professional","Delivery_Truck","Urban",47,14,69,"61–70",0.714370076893829,0,0,NA,0,0.13359077622953,9828
35,"Construction","Light_Truck","Suburban",50,17,46,"41–50",0.882208222988993,1,3502.21581792689,3502.21581792689,3969.82903430791,0.144505706925597,8820
36,"Retail","Cargo_Van","Suburban",50,16,67,"61–70",0.565879259142093,0,0,NA,0,0.0792230962798931,7000
37,"Professional","Box_Truck","Urban",40,3,55,"51–60",0.754350747098215,0,0,NA,0,0.144156427770469,11340
38,"Construction","Cargo_Van","Rural",10,14,21,"21–30",0.546522931894287,0,0,NA,0,0.0497335868023802,7840
39,"Logistics","Light_Truck","Urban",28,17,67,"61–70",0.762625678791665,0,0,NA,0,0.170080778884117,11340
40,"Construction","Light_Truck","Suburban",13,9,55,"51–60",0.622852009837516,1,2617.78091331765,2617.78091331765,4202.89390091324,0.075059895705519,8820
41,"Construction","Light_Truck","Urban",31,26,62,"61–70",0.964072980219498,0,0,NA,0,0.204725717714512,10584
42,"Logistics","Light_Truck","Urban",15,3,52,"51–60",0.506658074096777,0,0,NA,0,0.100546294804505,11340
43,"Logistics","Light_Truck","Rural",15,1,38,"31–40",0.558575198519975,0,0,NA,0,0.0517296491349349,7560
44,"Logistics","Light_Truck","Urban",14,40,65,"61–70",0.542903339257464,1,19676.642000041,19676.642000041,36243.3615290578,0.106713080364447,11340
45,"Construction","Light_Truck","Rural",37,13,58,"51–60",0.757551580900326,0,0,NA,0,0.0787952125841856,7056
46,"Construction","Light_Truck","Suburban",49,26,26,"21–30",0.515784702729434,1,6327.59838064475,6327.59838064475,12267.9062546065,0.0838820662048878,8820
47,"Construction","Light_Truck","Suburban",29,20,56,"51–60",0.849897698732093,0,0,NA,0,0.118331256594469,8820
48,"Retail","Delivery_Truck","Urban",28,5,55,"51–60",0.935164710856043,0,0,NA,0,0.215181399967975,10920
49,"Logistics","Cargo_Van","Rural",35,40,45,"41–50",0.874675680883229,0,0,NA,0,0.107147770908196,8400
50,"Healthcare","Light_Truck","Rural",20,16,51,"51–60",0.564038118929602,0,0,NA,0,0.0351790574776393,5544
51,"Construction","Light_Truck","Urban",27,8,26,"21–30",0.789323312230408,0,0,NA,0,0.162075702316831,10584
52,"Logistics","Delivery_Truck","Urban",41,13,30,"21–30",0.717462921980768,0,0,NA,0,0.256586264787982,16380
53,"Professional","Box_Truck","Urban",50,38,50,"41–50",0.963177090394311,0,0,NA,0,0.198221845203149,11340
54,"Construction","Delivery_Truck","Urban",22,12,64,"61–70",0.536429937230423,0,0,NA,0,0.152303187778462,15288
55,"Retail","Cargo_Van","Suburban",42,18,65,"61–70",0.729577405727468,0,0,NA,0,0.0963042175560258,7000
56,"Construction","Light_Truck","Urban",8,7,55,"51–60",0.527715367614292,0,0,NA,0,0.090761766075982,10584
57,"Construction","Delivery_Truck","Urban",3,18,62,"61–70",0.75422668538522,0,0,NA,0,0.177812712212992,15288
58,"Professional","Light_Truck","Urban",34,21,42,"41–50",0.820492864586413,1,1369.55816423578,1369.55816423578,1669.18960949909,0.0961453538722359,6804
59,"Healthcare","Light_Truck","Suburban",13,7,27,"21–30",0.593282097601332,0,0,NA,0,0.0494975254028791,6930
60,"Logistics","Light_Truck","Suburban",15,29,42,"41–50",0.969910502200946,0,0,NA,0,0.128319159441185,9450
61,"Professional","Cargo_Van","Suburban",16,37,31,"31–40",0.691806799382903,0,0,NA,0,0.0513320645142114,6300
62,"Construction","Delivery_Truck","Suburban",50,37,39,"31–40",0.592579144402407,0,0,NA,0,0.14020422556561,12740
63,"Logistics","Delivery_Truck","Urban",3,14,68,"61–70",0.668752854806371,0,0,NA,0,0.16978966230679,16380
64,"Logistics","Cargo_Van","Suburban",2,36,48,"41–50",0.847680240054615,0,0,NA,0,0.109181214919034,10500
65,"Professional","Cargo_Van","Urban",11,18,62,"61–70",0.597177149378695,0,0,NA,0,0.0633306366916105,7560
66,"Logistics","Light_Truck","Urban",16,23,51,"51–60",0.628063860465772,1,5271.12198520019,5271.12198520019,8392.6529084019,0.125826313805713,11340
67,"Professional","Cargo_Van","Rural",36,35,31,"31–40",0.791976829059422,0,0,NA,0,0.0488966494261287,5040
68,"Professional","Light_Truck","Urban",20,34,62,"61–70",0.693725788383745,0,0,NA,0,0.0721127957024903,6804
69,"Professional","Light_Truck","Urban",46,3,58,"51–60",0.597582101123407,1,2233.46022826831,2233.46022826831,3737.49518948038,0.0768012516363803,6804
70,"Logistics","Delivery_Truck","Urban",36,6,29,"21–30",0.797401713207364,1,1524.42748661893,1524.42748661893,1911.74343040633,0.274290241309069,16380
71,"Professional","Light_Truck","Suburban",3,30,57,"51–60",0.840989475720562,0,0,NA,0,0.0492735733824677,5670
72,"Retail","Delivery_Truck","Urban",2,9,21,"21–30",0.765348047134466,0,0,NA,0,0.137303439655923,10920
73,"Professional","Light_Truck","Urban",28,2,61,"61–70",0.768683838308789,0,0,NA,0,0.085715934809813,6804
74,"Construction","Cargo_Van","Urban",35,38,45,"41–50",0.710967696621083,0,0,NA,0,0.173298376051389,11760
75,"Retail","Light_Truck","Rural",38,7,36,"31–40",0.717941734939814,0,0,NA,0,0.0578948215055466,5040
76,"Construction","Delivery_Truck","Rural",15,27,48,"41–50",0.926751809893176,0,0,NA,0,0.115116476065881,10192
77,"Logistics","Delivery_Truck","Urban",2,32,67,"61–70",0.880631829379126,0,0,NA,0,0.221179490266861,16380
78,"Retail","Box_Truck","Suburban",5,35,44,"41–50",0.553710819454864,0,0,NA,0,0.0736435389874969,10500
79,"Logistics","Box_Truck","Suburban",39,3,53,"51–60",0.884853939991444,0,0,NA,0,0.223726470187437,15750
80,"Construction","Cargo_Van","Rural",44,7,33,"31–40",0.811788970371708,0,0,NA,0,0.0989895470471261,7840
81,"Construction","Box_Truck","Suburban",30,1,38,"31–40",0.915545820724219,1,10971.0597291195,10971.0597291195,11983.0810001853,0.199955207246169,14700
82,"Professional","Cargo_Van","Urban",43,9,48,"41–50",0.797744631883688,0,0,NA,0,0.111405037842557,7560
83,"Logistics","Cargo_Van","Urban",21,6,27,"21–30",0.71747526503168,1,6664.33742130935,6664.33742130935,9288.5953650473,0.167243484278885,12600
84,"Professional","Cargo_Van","Urban",25,34,58,"51–60",0.78618529450614,1,11885.3723953186,11885.3723953186,15117.775005935,0.0949318743116164,7560
85,"Construction","Cargo_Van","Urban",37,33,50,"41–50",0.718111879657954,0,0,NA,0,0.177840406997292,11760
86,"Logistics","Cargo_Van","Urban",22,20,52,"51–60",0.73095776932314,0,0,NA,0,0.171921267344803,12600
87,"Healthcare","Delivery_Truck","Rural",38,12,28,"21–30",0.773373228264973,0,0,NA,0,0.0810742622654736,8008
88,"Healthcare","Cargo_Van","Suburban",14,31,67,"61–70",0.892243233742192,1,2051.06034991228,2051.06034991228,2298.76817480571,0.0835139666782692,7700
89,"Healthcare","Light_Truck","Rural",32,13,67,"61–70",0.700606757774949,1,1535.62963621615,1535.62963621615,2191.85672872061,0.0484637718623243,5544
90,"Construction","Cargo_Van","Rural",43,5,67,"61–70",0.728741842904128,0,0,NA,0,0.0881996252466866,7840
91,"Construction","Cargo_Van","Suburban",24,8,48,"41–50",0.525512023130432,0,0,NA,0,0.07788088182793,9800
92,"Professional","Cargo_Van","Suburban",20,4,32,"31–40",0.998723810422234,0,0,NA,0,0.076901733402512,6300
93,"Logistics","Cargo_Van","Urban",49,27,47,"41–50",0.690070343436673,0,0,NA,0,0.201431533249165,12600
94,"Professional","Cargo_Van","Urban",7,13,41,"41–50",0.850560379214585,0,0,NA,0,0.0866295746230055,7560
95,"Logistics","Light_Truck","Suburban",24,15,22,"21–30",0.878494148957543,0,0,NA,0,0.126186899556262,9450
96,"Construction","Light_Truck","Urban",46,37,58,"51–60",0.881597372237593,1,6048.58462435085,6048.58462435085,6860.93767384863,0.210419660805669,10584
97,"Professional","Box_Truck","Urban",46,20,51,"51–60",0.766165043460205,0,0,NA,0,0.153171715488564,11340
98,"Construction","Delivery_Truck","Urban",17,36,60,"51–60",0.560931019135751,0,0,NA,0,0.152149734285477,15288
99,"Retail","Light_Truck","Urban",7,1,29,"21–30",0.869940973352641,0,0,NA,0,0.113918770460528,7560
100,"Retail","Cargo_Van","Suburban",18,20,65,"61–70",0.928852015989833,0,0,NA,0,0.100316017726902,7000
101,"Retail","Light_Truck","Rural",34,18,24,"21–30",0.848807686939836,0,0,NA,0,0.06630885650374,5040
102,"Logistics","Light_Truck","Urban",22,38,50,"41–50",0.989330307813361,0,0,NA,0,0.209421439557932,11340
103,"Retail","Cargo_Van","Urban",11,29,69,"61–70",0.913316252524965,0,0,NA,0,0.138367412257532,8400
104,"Healthcare","Light_Truck","Suburban",48,22,46,"41–50",0.597361794789322,0,0,NA,0,0.0667731014215504,6930
105,"Retail","Cargo_Van","Suburban",10,32,59,"51–60",0.91928354697302,0,0,NA,0,0.091928354697302,7000
106,"Healthcare","Cargo_Van","Suburban",24,26,48,"41–50",0.77539271779824,0,0,NA,0,0.0795552928460995,7700
107,"Healthcare","Cargo_Van","Suburban",5,30,65,"61–70",0.849802680197172,0,0,NA,0,0.0726581291568582,7700
108,"Retail","Delivery_Truck","Suburban",32,21,67,"61–70",0.846864892402664,0,0,NA,0,0.134312771935062,9100
109,"Logistics","Cargo_Van","Suburban",23,36,23,"21–30",0.902011528727598,0,0,NA,0,0.142698223844706,10500
110,"Construction","Delivery_Truck","Suburban",8,18,48,"41–50",0.958440047572367,0,0,NA,0,0.158736840678935,12740
111,"Healthcare","Light_Truck","Suburban",15,27,62,"61–70",0.807921298430301,0,0,NA,0,0.0687137064314971,6930
112,"Logistics","Delivery_Truck","Urban",12,37,30,"21–30",0.792328568524681,0,0,NA,0,0.220631813191383,16380
113,"Construction","Delivery_Truck","Urban",24,33,44,"41–50",0.730730831855908,0,0,NA,0,0.211173903098039,15288
114,"Healthcare","Box_Truck","Urban",23,22,21,"21–30",0.670292789698578,0,0,NA,0,0.143154431095925,13860
115,"Professional","Box_Truck","Suburban",19,40,38,"31–40",0.766729030525312,0,0,NA,0,0.0819019950407138,9450
116,"Construction","Light_Truck","Rural",7,7,70,"61–70",0.869376545073465,0,0,NA,0,0.0690658808702712,7056
117,"Retail","Light_Truck","Urban",11,28,32,"31–40",0.994122722418979,0,0,NA,0,0.135548633201828,7560
118,"Healthcare","Cargo_Van","Suburban",44,28,58,"51–60",0.546304041403346,0,0,NA,0,0.0658842673932435,7700
119,"Retail","Cargo_Van","Suburban",2,8,61,"61–70",0.947160425712354,1,1418.96817583356,1418.96817583356,1498.12865625838,0.0871387591655366,7000
120,"Logistics","Box_Truck","Rural",43,31,66,"61–70",0.702019173069857,0,0,NA,0,0.128101650625095,12600
121,"Retail","Light_Truck","Urban",27,34,30,"21–30",0.604852702934295,0,0,NA,0,0.0955364844284719,7560
122,"Logistics","Box_Truck","Suburban",9,3,59,"51–60",0.551352244685404,0,0,NA,0,0.106984389558756,15750
123,"Logistics","Cargo_Van","Suburban",6,25,70,"61–70",0.549242648645304,1,2887.8018092439,2887.8018092439,5257.78873211431,0.0738182119779289,10500
124,"Construction","Light_Truck","Urban",47,1,23,"21–30",0.564541697502136,1,5674.31313777214,5674.31313777214,10051.1851699859,0.135735583038926,10584
125,"Logistics","Delivery_Truck","Rural",18,21,26,"21–30",0.834182214573957,0,0,NA,0,0.11477679926766,10920
126,"Healthcare","Cargo_Van","Rural",8,31,28,"21–30",0.688575869193301,0,0,NA,0,0.0425126741639944,6160
127,"Construction","Cargo_Van","Urban",46,15,38,"31–40",0.537629366735928,0,0,NA,0,0.142579308058368,11760
128,"Construction","Cargo_Van","Urban",47,34,54,"51–60",0.698662406415679,0,0,NA,0,0.186647661873949,11760
129,"Construction","Box_Truck","Urban",4,34,29,"21–30",0.755933122243732,0,0,NA,0,0.193987557830187,17640
130,"Professional","Cargo_Van","Urban",14,24,67,"61–70",0.794722915044986,0,0,NA,0,0.0867837423229124,7560
131,"Retail","Light_Truck","Urban",3,18,56,"51–60",0.766462261904962,0,0,NA,0,0.096229336982168,7560
132,"Healthcare","Light_Truck","Suburban",7,14,65,"61–70",0.905798370018601,0,0,NA,0,0.0711685779323615,6930
133,"Professional","Box_Truck","Rural",23,36,33,"31–40",0.748985567479394,0,0,NA,0,0.0580598632198677,7560
134,"Professional","Light_Truck","Urban",17,40,24,"21–30",0.648345621419139,0,0,NA,0,0.0655574675097963,6804
135,"Retail","Light_Truck","Urban",5,40,42,"41–50",0.653731103637256,0,0,NA,0,0.083841014041478,7560
136,"Professional","Delivery_Truck","Suburban",28,13,42,"41–50",0.80426056671422,0,0,NA,0,0.0863614996537729,8190
137,"Professional","Cargo_Van","Rural",11,1,69,"61–70",0.880215733661316,0,0,NA,0,0.0435618766588985,5040
138,"Professional","Box_Truck","Urban",21,37,54,"51–60",0.974652061471716,0,0,NA,0,0.15903397687034,11340
139,"Healthcare","Light_Truck","Suburban",18,9,27,"21–30",0.937653957400471,0,0,NA,0,0.0820259681933932,6930
140,"Logistics","Cargo_Van","Urban",18,26,22,"21–30",0.537865581340156,0,0,NA,0,0.121987913847947,12600
141,"Logistics","Cargo_Van","Urban",23,18,35,"31–40",0.587062538485043,0,0,NA,0,0.139309940382501,12600
142,"Logistics","Light_Truck","Suburban",33,40,70,"61–70",0.74204752559308,0,0,NA,0,0.115002525516415,9450
143,"Construction","Cargo_Van","Suburban",11,20,41,"41–50",0.607997500221245,0,0,NA,0,0.0798300717790495,9800
144,"Construction","Light_Truck","Suburban",5,26,36,"31–40",0.500784195377491,0,0,NA,0,0.0556621633162082,8820
145,"Professional","Cargo_Van","Urban",7,9,31,"31–40",0.742599857621826,0,0,NA,0,0.075633795498783,7560
146,"Construction","Cargo_Van","Rural",15,5,47,"41–50",0.573618162772618,0,0,NA,0,0.0548092154529237,7840
147,"Construction","Delivery_Truck","Urban",44,6,65,"61–70",0.54972073296085,0,0,NA,0,0.186734635779471,15288
148,"Construction","Light_Truck","Suburban",23,19,67,"61–70",0.606993324356154,0,0,NA,0,0.0802505874131271,8820
149,"Construction","Light_Truck","Urban",36,29,43,"41–50",0.538330612354912,0,0,NA,0,0.119041048310042,10584
150,"Professional","Light_Truck","Urban",19,1,50,"41–50",0.712197024957277,0,0,NA,0,0.0733598545557243,6804
151,"Professional","Cargo_Van","Rural",38,24,53,"51–60",0.932646766887046,0,0,NA,0,0.0584956052191555,5040
152,"Retail","Light_Truck","Suburban",28,35,42,"41–50",0.845863773487508,0,0,NA,0,0.0898307327443734,6300
153,"Logistics","Delivery_Truck","Rural",50,39,38,"31–40",0.780046125059016,0,0,NA,0,0.139129026865526,10920
154,"Construction","Box_Truck","Suburban",20,18,35,"31–40",0.826217470574193,0,0,NA,0,0.165408737608953,14700
155,"Construction","Delivery_Truck","Urban",10,34,47,"41–50",0.99870079907123,0,0,NA,0,0.253170652564557,15288
156,"Logistics","Light_Truck","Suburban",7,36,23,"21–30",0.937873680028133,0,0,NA,0,0.114626921173038,9450
157,"Retail","Cargo_Van","Urban",49,40,70,"61–70",0.651134201325476,0,0,NA,0,0.135761480976362,8400
158,"Construction","Light_Truck","Suburban",2,33,65,"61–70",0.823660857975483,0,0,NA,0,0.088658854752481,8820
159,"Logistics","Delivery_Truck","Urban",10,34,47,"41–50",0.935043435660191,0,0,NA,0,0.255266857935232,16380
160,"Construction","Delivery_Truck","Suburban",9,33,46,"41–50",0.744066134560853,0,0,NA,0,0.124489704973376,12740
161,"Retail","Delivery_Truck","Urban",48,32,69,"61–70",0.821790454327129,0,0,NA,0,0.22114381125943,10920
162,"Logistics","Delivery_Truck","Urban",5,16,39,"31–40",0.604858984355815,0,0,NA,0,0.156870177592681,16380
163,"Retail","Delivery_Truck","Suburban",50,9,46,"41–50",0.526758445659652,0,0,NA,0,0.0958700371100567,9100
164,"Logistics","Cargo_Van","Urban",1,40,60,"51–60",0.919499983196147,0,0,NA,0,0.175716446788784,12600
165,"Logistics","Cargo_Van","Suburban",41,30,34,"31–40",0.790002516936511,0,0,NA,0,0.144886461606156,10500
166,"Retail","Cargo_Van","Suburban",21,20,25,"21–30",0.611306463368237,0,0,NA,0,0.0678550174338743,7000
167,"Professional","Cargo_Van","Urban",41,36,38,"31–40",0.703040282940492,0,0,NA,0,0.0967031909184647,7560
168,"Construction","Light_Truck","Urban",24,40,49,"41–50",0.666199368541129,0,0,NA,0,0.133286507664024,10584
169,"Logistics","Delivery_Truck","Urban",6,35,40,"31–40",0.730502749676816,0,0,NA,0,0.1914501606353,16380
170,"Logistics","Cargo_Van","Suburban",47,39,59,"51–60",0.941049107932486,0,0,NA,0,0.180493218901451,10500
171,"Retail","Light_Truck","Suburban",22,22,55,"51–60",0.732669359771535,1,7842.98963277314,7842.98963277314,10704.6780763683,0.0738530714649707,6300
172,"Construction","Light_Truck","Suburban",7,32,59,"51–60",0.925665432470851,0,0,NA,0,0.105053769931117,8820
173,"Healthcare","Cargo_Van","Urban",44,26,37,"31–40",0.759532145573758,0,0,NA,0,0.137399365134293,9240
174,"Professional","Light_Truck","Suburban",13,31,34,"31–40",0.753993548569269,0,0,NA,0,0.0489266413666599,5670
175,"Professional","Cargo_Van","Rural",25,37,69,"61–70",0.632892666617408,0,0,NA,0,0.035663501763891,5040
176,"Retail","Box_Truck","Suburban",1,22,24,"21–30",0.686333459569141,0,0,NA,0,0.0874388827491086,10500
177,"Logistics","Light_Truck","Suburban",12,21,32,"31–40",0.722099903738126,1,272.871760908074,272.871760908074,377.886438559937,0.092804279628424,9450
178,"Retail","Light_Truck","Urban",20,4,43,"41–50",0.667761425604112,1,1686.2634643361,1686.2634643361,2525.24838913923,0.0991625717022107,7560
179,"Healthcare","Cargo_Van","Rural",4,4,29,"21–30",0.734148613293655,0,0,NA,0,0.0434762808792503,6160
180,"Retail","Light_Truck","Suburban",28,34,41,"41–50",0.939756794483401,1,13521.2740125628,13521.2740125628,14388.056667359,0.0998021715741372,6300
181,"Professional","Delivery_Truck","Suburban",41,30,59,"51–60",0.579924151767045,0,0,NA,0,0.0691327581321495,8190
182,"Logistics","Light_Truck","Urban",24,9,60,"51–60",0.66194871312473,0,0,NA,0,0.142623469729854,11340
183,"Professional","Cargo_Van","Suburban",9,23,26,"21–30",0.590231025707908,1,6808.27796840017,6808.27796840017,11534.9374598438,0.040903010081558,6300
184,"Logistics","Light_Truck","Urban",40,16,67,"61–70",0.807782892137766,1,8876.48264354609,8876.48264354609,10988.6984856226,0.198472256598249,11340
185,"Retail","Box_Truck","Urban",12,32,61,"61–70",0.511091807391495,1,18194.6404384548,18194.6404384548,35599.5540826931,0.109475865143258,12600
186,"Retail","Delivery_Truck","Rural",30,18,56,"51–60",0.564269857248291,0,0,NA,0,0.0616182684115134,7280
187,"Logistics","Cargo_Van","Urban",21,38,28,"21–30",0.694923745468259,1,5034.7339981725,5034.7339981725,7245.01649426291,0.161986725068651,12600
188,"Retail","Light_Truck","Suburban",3,31,62,"61–70",0.876503155217506,0,0,NA,0,0.0733633140917053,6300
189,"Healthcare","Delivery_Truck","Rural",47,23,56,"51–60",0.644565792405047,0,0,NA,0,0.0723222156052234,8008
190,"Healthcare","Light_Truck","Urban",46,12,24,"21–30",0.747337955399416,0,0,NA,0,0.1234901237502,8316
191,"Logistics","Delivery_Truck","Suburban",44,19,32,"31–40",0.662871281965636,0,0,NA,0,0.161661048245779,13650
192,"Logistics","Light_Truck","Urban",49,6,66,"61–70",0.913003387628123,1,14526.2719868367,14526.2719868367,15910.4250692588,0.239855119963784,11340
193,"Healthcare","Delivery_Truck","Urban",19,40,29,"21–30",0.59427178686019,0,0,NA,0,0.11368122146742,12012
194,"Retail","Cargo_Van","Suburban",8,10,43,"41–50",0.806833829032257,0,0,NA,0,0.0790697152451612,7000
195,"Healthcare","Cargo_Van","Suburban",40,13,67,"61–70",0.836210455046967,0,0,NA,0,0.0978366232404951,7700
196,"Retail","Light_Truck","Suburban",50,23,55,"51–60",0.681037096306682,0,0,NA,0,0.0858106741346419,6300
197,"Logistics","Cargo_Van","Urban",29,14,69,"61–70",0.554473412106745,1,6237.41666393195,6237.41666393195,11249.2619623232,0.138562905685476,12600
198,"Professional","Delivery_Truck","Urban",18,7,61,"61–70",0.735427990090102,0,0,NA,0,0.108416794299083,9828
199,"Construction","Delivery_Truck","Urban",21,13,43,"41–50",0.557441200129688,1,17751.8443013565,17751.8443013565,31845.2319226254,0.156855592098492,15288
200,"Retail","Light_Truck","Urban",8,27,62,"61–70",0.646543085225858,0,0,NA,0,0.085537650175381,7560
201,"Construction","Cargo_Van","Suburban",19,32,24,"21–30",0.989997259574011,0,0,NA,0,0.140282611681637,9800
202,"Healthcare","Light_Truck","Suburban",44,10,26,"21–30",0.54996025073342,0,0,NA,0,0.0596926856146054,6930
203,"Retail","Cargo_Van","Suburban",40,27,30,"21–30",0.54805074352771,0,0,NA,0,0.0712465966586024,7000
204,"Retail","Cargo_Van","Suburban",14,18,57,"51–60",0.665332028758712,0,0,NA,0,0.0691945309909061,7000
205,"Logistics","Delivery_Truck","Suburban",6,9,35,"31–40",0.743639160995372,0,0,NA,0,0.129928634209111,13650
206,"Healthcare","Light_Truck","Urban",14,19,27,"21–30",0.844787629321218,0,0,NA,0,0.106747364841029,8316
207,"Logistics","Delivery_Truck","Rural",48,18,23,"21–30",0.975373402936384,1,1174.04442837283,1174.04442837283,1203.68714672591,0.171482348717052,10920
208,"Logistics","Light_Truck","Suburban",50,21,55,"51–60",0.785048982594162,0,0,NA,0,0.13848264052961,9450
209,"Construction","Cargo_Van","Rural",20,30,70,"61–70",0.884307989967056,0,0,NA,0,0.0885192297957023,7840
210,"Construction","Cargo_Van","Suburban",18,28,26,"21–30",0.81831765291281,0,0,NA,0,0.114891798468959,9800
211,"Retail","Light_Truck","Urban",27,20,67,"61–70",0.657888996880502,0,0,NA,0,0.103913567057275,7560
212,"Logistics","Light_Truck","Urban",45,7,26,"21–30",0.948474024073221,1,4015.0355882903,4015.0355882903,4233.1529239438,0.242003147242282,11340
213,"Construction","Box_Truck","Suburban",18,17,52,"51–60",0.968861738801934,0,0,NA,0,0.190439463378908,14700
214,"Professional","Light_Truck","Urban",25,32,29,"21–30",0.758239698479883,1,1804.11996272949,1804.11996272949,2379.35308101961,0.0824016992323013,6804
215,"Construction","Cargo_Van","Suburban",47,30,27,"21–30",0.786934868083335,0,0,NA,0,0.140153100005642,9800
216,"Professional","Delivery_Truck","Suburban",19,1,56,"51–60",0.604866366018541,0,0,NA,0,0.0599966948453791,8190
217,"Logistics","Light_Truck","Suburban",14,39,70,"61–70",0.516877715475857,0,0,NA,0,0.0677316558359563,9450
218,"Logistics","Cargo_Van","Rural",1,15,29,"21–30",0.723316498566419,0,0,NA,0,0.0645053653421532,8400
219,"Professional","Light_Truck","Urban",1,36,24,"21–30",0.758271817234345,1,8859.47548398924,8859.47548398924,11683.7726032104,0.0652075849230675,6804
220,"Healthcare","Light_Truck","Rural",27,31,52,"51–60",0.647952149040066,0,0,NA,0,0.0429844976151689,5544
221,"Logistics","Cargo_Van","Urban",6,38,63,"61–70",0.666849093511701,1,12407.0353877039,12407.0353877039,18605.4618779897,0.134436777251959,12600
222,"Healthcare","Cargo_Van","Urban",44,35,41,"41–50",0.697738030343316,0,0,NA,0,0.126220809689106,9240
223,"Professional","Cargo_Van","Rural",24,12,47,"41–50",0.707809759303927,0,0,NA,0,0.0395382531547174,5040
224,"Professional","Box_Truck","Rural",13,30,47,"41–50",0.678575371159241,0,0,NA,0,0.0479467785753696,7560
