"policy_id","industry","vehicle_type","territory","fleet_size","years_in_business","driver_age","exposure","freq_lambda","claims","sev_mu","total_loss","severity","pure_premium"
65,"Professional","Cargo_Van","Urban",11,18,62,0.597177149378695,0.0633306366916105,0,7560,0,NA,0
66,"Logistics","Light_Truck","Urban",16,23,51,0.628063860465772,0.125826313805713,1,11340,5271.12198520019,5271.12198520019,8392.6529084019
67,"Professional","Cargo_Van","Rural",36,35,31,0.791976829059422,0.0488966494261287,0,5040,0,NA,0
68,"Professional","Light_Truck","Urban",20,34,62,0.693725788383745,0.0721127957024903,0,6804,0,NA,0
69,"Professional","Light_Truck","Urban",46,3,58,0.597582101123407,0.0768012516363803,1,6804,2233.46022826831,2233.46022826831,3737.49518948038
70,"Logistics","Delivery_Truck","Urban",36,6,29,0.797401713207364,0.274290241309069,1,16380,1524.42748661893,1524.42748661893,1911.74343040633
71,"Professional","Light_Truck","Suburban",3,30,57,0.840989475720562,0.0492735733824677,0,5670,0,NA,0
72,"Retail","Delivery_Truck","Urban",2,9,21,0.765348047134466,0.137303439655923,0,10920,0,NA,0
73,"Professional","Light_Truck","Urban",28,2,61,0.768683838308789,0.085715934809813,0,6804,0,NA,0
74,"Construction","Cargo_Van","Urban",35,38,45,0.710967696621083,0.173298376051389,0,11760,0,NA,0
75,"Retail","Light_Truck","Rural",38,7,36,0.717941734939814,0.0578948215055466,0,5040,0,NA,0
76,"Construction","Delivery_Truck","Rural",15,27,48,0.926751809893176,0.115116476065881,0,10192,0,NA,0
77,"Logistics","Delivery_Truck","Urban",2,32,67,0.880631829379126,0.221179490266861,0,16380,0,NA,0
78,"Retail","Box_Truck","Suburban",5,35,44,0.553710819454864,0.0736435389874969,0,10500,0,NA,0
79,"Logistics","Box_Truck","Suburban",39,3,53,0.884853939991444,0.223726470187437,0,15750,0,NA,0
80,"Construction","Cargo_Van","Rural",44,7,33,0.811788970371708,0.0989895470471261,0,7840,0,NA,0
81,"Construction","Box_Truck","Suburban",30,1,38,0.915545820724219,0.199955207246169,1,14700,10971.0597291195,10971.0597291195,11983.0810001853
82,"Professional","Cargo_Van","Urban",43,9,48,0.797744631883688,0.111405037842557,0,7560,0,NA,0
83,"Logistics","Cargo_Van","Urban",21,6,27,0.71747526503168,0.167243484278885,1,12600,6664.33742130935,6664.33742130935,9288.5953650473
84,"Professional","Cargo_Van","Urban",25,34,58,0.78618529450614,0.0949318743116164,1,7560,11885.3723953186,11885.3723953186,15117.775005935
85,"Construction","Cargo_Van","Urban",37,33,50,0.718111879657954,0.177840406997292,0,11760,0,NA,0
86,"Logistics","Cargo_Van","Urban",22,20,52,0.73095776932314,0.171921267344803,0,12600,0,NA,0
87,"Healthcare","Delivery_Truck","Rural",38,12,28,0.773373228264973,0.0810742622654736,0,8008,0,NA,0
88,"Healthcare","Cargo_Van","Suburban",14,31,67,0.892243233742192,0.0835139666782692,1,7700,2051.06034991228,2051.06034991228,2298.76817480571
89,"Healthcare","Light_Truck","Rural",32,13,67,0.700606757774949,0.0484637718623243,1,5544,1535.62963621615,1535.62963621615,2191.85672872061
90,"Construction","Cargo_Van","Rural",43,5,67,0.728741842904128,0.0881996252466866,0,7840,0,NA,0
91,"Construction","Cargo_Van","Suburban",24,8,48,0.525512023130432,0.07788088182793,0,9800,0,NA,0
92,"Professional","Cargo_Van","Suburban",20,4,32,0.998723810422234,0.076901733402512,0,6300,0,NA,0
93,"Logistics","Cargo_Van","Urban",49,27,47,0.690070343436673,0.201431533249165,0,12600,0,NA,0
94,"Professional","Cargo_Van","Urban",7,13,41,0.850560379214585,0.0866295746230055,0,7560,0,NA,0
95,"Logistics","Light_Truck","Suburban",24,15,22,0.878494148957543,0.126186899556262,0,9450,0,NA,0
96,"Construction","Light_Truck","Urban",46,37,58,0.881597372237593,0.210419660805669,1,10584,6048.58462435085,6048.58462435085,6860.93767384863
97,"Professional","Box_Truck","Urban",46,20,51,0.766165043460205,0.153171715488564,0,11340,0,NA,0
98,"Construction","Delivery_Truck","Urban",17,36,60,0.560931019135751,0.152149734285477,0,15288,0,NA,0
99,"Retail","Light_Truck","Urban",7,1,29,0.869940973352641,0.113918770460528,0,7560,0,NA,0
100,"Retail","Cargo_Van","Suburban",18,20,65,0.928852015989833,0.100316017726902,0,7000,0,NA,0
101,"Retail","Light_Truck","Rural",34,18,24,0.848807686939836,0.06630885650374,0,5040,0,NA,0
102,"Logistics","Light_Truck","Urban",22,38,50,0.989330307813361,0.209421439557932,0,11340,0,NA,0
103,"Retail","Cargo_Van","Urban",11,29,69,0.913316252524965,0.138367412257532,0,8400,0,NA,0
104,"Healthcare","Light_Truck","Suburban",48,22,46,0.597361794789322,0.0667731014215504,0,6930,0,NA,0
105,"Retail","Cargo_Van","Suburban",10,32,59,0.91928354697302,0.091928354697302,0,7000,0,NA,0
106,"Healthcare","Cargo_Van","Suburban",24,26,48,0.77539271779824,0.0795552928460995,0,7700,0,NA,0
107,"Healthcare","Cargo_Van","Suburban",5,30,65,0.849802680197172,0.0726581291568582,0,7700,0,NA,0
108,"Retail","Delivery_Truck","Suburban",32,21,67,0.846864892402664,0.134312771935062,0,9100,0,NA,0
109,"Logistics","Cargo_Van","Suburban",23,36,23,0.902011528727598,0.142698223844706,0,10500,0,NA,0
110,"Construction","Delivery_Truck","Suburban",8,18,48,0.958440047572367,0.158736840678935,0,12740,0,NA,0
111,"Healthcare","Light_Truck","Suburban",15,27,62,0.807921298430301,0.0687137064314971,0,6930,0,NA,0
112,"Logistics","Delivery_Truck","Urban",12,37,30,0.792328568524681,0.220631813191383,0,16380,0,NA,0
113,"Construction","Delivery_Truck","Urban",24,33,44,0.730730831855908,0.211173903098039,0,15288,0,NA,0
114,"Healthcare","Box_Truck","Urban",23,22,21,0.670292789698578,0.143154431095925,0,13860,0,NA,0
115,"Professional","Box_Truck","Suburban",19,40,38,0.766729030525312,0.0819019950407138,0,9450,0,NA,0
116,"Construction","Light_Truck","Rural",7,7,70,0.869376545073465,0.0690658808702712,0,7056,0,NA,0
117,"Retail","Light_Truck","Urban",11,28,32,0.994122722418979,0.135548633201828,0,7560,0,NA,0
118,"Healthcare","Cargo_Van","Suburban",44,28,58,0.546304041403346,0.0658842673932435,0,7700,0,NA,0
119,"Retail","Cargo_Van","Suburban",2,8,61,0.947160425712354,0.0871387591655366,1,7000,1418.96817583356,1418.96817583356,1498.12865625838
120,"Logistics","Box_Truck","Rural",43,31,66,0.702019173069857,0.128101650625095,0,12600,0,NA,0
121,"Retail","Light_Truck","Urban",27,34,30,0.604852702934295,0.0955364844284719,0,7560,0,NA,0
122,"Logistics","Box_Truck","Suburban",9,3,59,0.551352244685404,0.106984389558756,0,15750,0,NA,0
123,"Logistics","Cargo_Van","Suburban",6,25,70,0.549242648645304,0.0738182119779289,1,10500,2887.8018092439,2887.8018092439,5257.78873211431
124,"Construction","Light_Truck","Urban",47,1,23,0.564541697502136,0.135735583038926,1,10584,5674.31313777214,5674.31313777214,10051.1851699859
125,"Logistics","Delivery_Truck","Rural",18,21,26,0.834182214573957,0.11477679926766,0,10920,0,NA,0
126,"Healthcare","Cargo_Van","Rural",8,31,28,0.688575869193301,0.0425126741639944,0,6160,0,NA,0
127,"Construction","Cargo_Van","Urban",46,15,38,0.537629366735928,0.142579308058368,0,11760,0,NA,0
128,"Construction","Cargo_Van","Urban",47,34,54,0.698662406415679,0.186647661873949,0,11760,0,NA,0
129,"Construction","Box_Truck","Urban",4,34,29,0.755933122243732,0.193987557830187,0,17640,0,NA,0
130,"Professional","Cargo_Van","Urban",14,24,67,0.794722915044986,0.0867837423229124,0,7560,0,NA,0
131,"Retail","Light_Truck","Urban",3,18,56,0.766462261904962,0.096229336982168,0,7560,0,NA,0
132,"Healthcare","Light_Truck","Suburban",7,14,65,0.905798370018601,0.0711685779323615,0,6930,0,NA,0
133,"Professional","Box_Truck","Rural",23,36,33,0.748985567479394,0.0580598632198677,0,7560,0,NA,0
134,"Professional","Light_Truck","Urban",17,40,24,0.648345621419139,0.0655574675097963,0,6804,0,NA,0
135,"Retail","Light_Truck","Urban",5,40,42,0.653731103637256,0.083841014041478,0,7560,0,NA,0
136,"Professional","Delivery_Truck","Suburban",28,13,42,0.80426056671422,0.0863614996537729,0,8190,0,NA,0
137,"Professional","Cargo_Van","Rural",11,1,69,0.880215733661316,0.0435618766588985,0,5040,0,NA,0
138,"Professional","Box_Truck","Urban",21,37,54,0.974652061471716,0.15903397687034,0,11340,0,NA,0
139,"Healthcare","Light_Truck","Suburban",18,9,27,0.937653957400471,0.0820259681933932,0,6930,0,NA,0
140,"Logistics","Cargo_Van","Urban",18,26,22,0.537865581340156,0.121987913847947,0,12600,0,NA,0
141,"Logistics","Cargo_Van","Urban",23,18,35,0.587062538485043,0.139309940382501,0,12600,0,NA,0
142,"Logistics","Light_Truck","Suburban",33,40,70,0.74204752559308,0.115002525516415,0,9450,0,NA,0
143,"Construction","Cargo_Van","Suburban",11,20,41,0.607997500221245,0.0798300717790495,0,9800,0,NA,0
144,"Construction","Light_Truck","Suburban",5,26,36,0.500784195377491,0.0556621633162082,0,8820,0,NA,0
145,"Professional","Cargo_Van","Urban",7,9,31,0.742599857621826,0.075633795498783,0,7560,0,NA,0
146,"Construction","Cargo_Van","Rural",15,5,47,0.573618162772618,0.0548092154529237,0,7840,0,NA,0
147,"Construction","Delivery_Truck","Urban",44,6,65,0.54972073296085,0.186734635779471,0,15288,0,NA,0
148,"Construction","Light_Truck","Suburban",23,19,67,0.606993324356154,0.0802505874131271,0,8820,0,NA,0
149,"Construction","Light_Truck","Urban",36,29,43,0.538330612354912,0.119041048310042,0,10584,0,NA,0
150,"Professional","Light_Truck","Urban",19,1,50,0.712197024957277,0.0733598545557243,0,6804,0,NA,0
151,"Professional","Cargo_Van","Rural",38,24,53,0.932646766887046,0.0584956052191555,0,5040,0,NA,0
152,"Retail","Light_Truck","Suburban",28,35,42,0.845863773487508,0.0898307327443734,0,6300,0,NA,0
153,"Logistics","Delivery_Truck","Rural",50,39,38,0.780046125059016,0.139129026865526,0,10920,0,NA,0
154,"Construction","Box_Truck","Suburban",20,18,35,0.826217470574193,0.165408737608953,0,14700,0,NA,0
155,"Construction","Delivery_Truck","Urban",10,34,47,0.99870079907123,0.253170652564557,0,15288,0,NA,0
156,"Logistics","Light_Truck","Suburban",7,36,23,0.937873680028133,0.114626921173038,0,9450,0,NA,0
157,"Retail","Cargo_Van","Urban",49,40,70,0.651134201325476,0.135761480976362,0,8400,0,NA,0
158,"Construction","Light_Truck","Suburban",2,33,65,0.823660857975483,0.088658854752481,0,8820,0,NA,0
159,"Logistics","Delivery_Truck","Urban",10,34,47,0.935043435660191,0.255266857935232,0,16380,0,NA,0
160,"Construction","Delivery_Truck","Suburban",9,33,46,0.744066134560853,0.124489704973376,0,12740,0,NA,0
161,"Retail","Delivery_Truck","Urban",48,32,69,0.821790454327129,0.22114381125943,0,10920,0,NA,0
162,"Logistics","Delivery_Truck","Urban",5,16,39,0.604858984355815,0.156870177592681,0,16380,0,NA,0
163,"Retail","Delivery_Truck","Suburban",50,9,46,0.526758445659652,0.0958700371100567,0,9100,0,NA,0
164,"Logistics","Cargo_Van","Urban",1,40,60,0.919499983196147,0.175716446788784,0,12600,0,NA,0
165,"Logistics","Cargo_Van","Suburban",41,30,34,0.790002516936511,0.144886461606156,0,10500,0,NA,0
166,"Retail","Cargo_Van","Suburban",21,20,25,0.611306463368237,0.0678550174338743,0,7000,0,NA,0
167,"Professional","Cargo_Van","Urban",41,36,38,0.703040282940492,0.0967031909184647,0,7560,0,NA,0
168,"Construction","Light_Truck","Urban",24,40,49,0.666199368541129,0.133286507664024,0,10584,0,NA,0
169,"Logistics","Delivery_Truck","Urban",6,35,40,0.730502749676816,0.1914501606353,0,16380,0,NA,0
170,"Logistics","Cargo_Van","Suburban",47,39,59,0.941049107932486,0.180493218901451,0,10500,0,NA,0
171,"Retail","Light_Truck","Suburban",22,22,55,0.732669359771535,0.0738530714649707,1,6300,7842.98963277314,7842.98963277314,10704.6780763683
172,"Construction","Light_Truck","Suburban",7,32,59,0.925665432470851,0.105053769931117,0,8820,0,NA,0
173,"Healthcare","Cargo_Van","Urban",44,26,37,0.759532145573758,0.137399365134293,0,9240,0,NA,0
174,"Professional","Light_Truck","Suburban",13,31,34,0.753993548569269,0.0489266413666599,0,5670,0,NA,0
175,"Professional","Cargo_Van","Rural",25,37,69,0.632892666617408,0.035663501763891,0,5040,0,NA,0
176,"Retail","Box_Truck","Suburban",1,22,24,0.686333459569141,0.0874388827491086,0,10500,0,NA,0
177,"Logistics","Light_Truck","Suburban",12,21,32,0.722099903738126,0.092804279628424,1,9450,272.871760908074,272.871760908074,377.886438559937
178,"Retail","Light_Truck","Urban",20,4,43,0.667761425604112,0.0991625717022107,1,7560,1686.2634643361,1686.2634643361,2525.24838913923
179,"Healthcare","Cargo_Van","Rural",4,4,29,0.734148613293655,0.0434762808792503,0,6160,0,NA,0
180,"Retail","Light_Truck","Suburban",28,34,41,0.939756794483401,0.0998021715741372,1,6300,13521.2740125628,13521.2740125628,14388.056667359
181,"Professional","Delivery_Truck","Suburban",41,30,59,0.579924151767045,0.0691327581321495,0,8190,0,NA,0
182,"Logistics","Light_Truck","Urban",24,9,60,0.66194871312473,0.142623469729854,0,11340,0,NA,0
183,"Professional","Cargo_Van","Suburban",9,23,26,0.590231025707908,0.040903010081558,1,6300,6808.27796840017,6808.27796840017,11534.9374598438
184,"Logistics","Light_Truck","Urban",40,16,67,0.807782892137766,0.198472256598249,1,11340,8876.48264354609,8876.48264354609,10988.6984856226
185,"Retail","Box_Truck","Urban",12,32,61,0.511091807391495,0.109475865143258,1,12600,18194.6404384548,18194.6404384548,35599.5540826931
186,"Retail","Delivery_Truck","Rural",30,18,56,0.564269857248291,0.0616182684115134,0,7280,0,NA,0
187,"Logistics","Cargo_Van","Urban",21,38,28,0.694923745468259,0.161986725068651,1,12600,5034.7339981725,5034.7339981725,7245.01649426291
188,"Retail","Light_Truck","Suburban",3,31,62,0.876503155217506,0.0733633140917053,0,6300,0,NA,0
189,"Healthcare","Delivery_Truck","Rural",47,23,56,0.644565792405047,0.0723222156052234,0,8008,0,NA,0
190,"Healthcare","Light_Truck","Urban",46,12,24,0.747337955399416,0.1234901237502,0,8316,0,NA,0
191,"Logistics","Delivery_Truck","Suburban",44,19,32,0.662871281965636,0.161661048245779,0,13650,0,NA,0
192,"Logistics","Light_Truck","Urban",49,6,66,0.913003387628123,0.239855119963784,1,11340,14526.2719868367,14526.2719868367,15910.4250692588
193,"Healthcare","Delivery_Truck","Urban",19,40,29,0.59427178686019,0.11368122146742,0,12012,0,NA,0
194,"Retail","Cargo_Van","Suburban",8,10,43,0.806833829032257,0.0790697152451612,0,7000,0,NA,0
195,"Healthcare","Cargo_Van","Suburban",40,13,67,0.836210455046967,0.0978366232404951,0,7700,0,NA,0
196,"Retail","Light_Truck","Suburban",50,23,55,0.681037096306682,0.0858106741346419,0,6300,0,NA,0
197,"Logistics","Cargo_Van","Urban",29,14,69,0.554473412106745,0.138562905685476,1,12600,6237.41666393195,6237.41666393195,11249.2619623232
198,"Professional","Delivery_Truck","Urban",18,7,61,0.735427990090102,0.108416794299083,0,9828,0,NA,0
199,"Construction","Delivery_Truck","Urban",21,13,43,0.557441200129688,0.156855592098492,1,15288,17751.8443013565,17751.8443013565,31845.2319226254
200,"Retail","Light_Truck","Urban",8,27,62,0.646543085225858,0.085537650175381,0,7560,0,NA,0
201,"Construction","Cargo_Van","Suburban",19,32,24,0.989997259574011,0.140282611681637,0,9800,0,NA,0
202,"Healthcare","Light_Truck","Suburban",44,10,26,0.54996025073342,0.0596926856146054,0,6930,0,NA,0
203,"Retail","Cargo_Van","Suburban",40,27,30,0.54805074352771,0.0712465966586024,0,7000,0,NA,0
204,"Retail","Cargo_Van","Suburban",14,18,57,0.665332028758712,0.0691945309909061,0,7000,0,NA,0
205,"Logistics","Delivery_Truck","Suburban",6,9,35,0.743639160995372,0.129928634209111,0,13650,0,NA,0
206,"Healthcare","Light_Truck","Urban",14,19,27,0.844787629321218,0.106747364841029,0,8316,0,NA,0
207,"Logistics","Delivery_Truck","Rural",48,18,23,0.975373402936384,0.171482348717052,1,10920,1174.04442837283,1174.04442837283,1203.68714672591
208,"Logistics","Light_Truck","Suburban",50,21,55,0.785048982594162,0.13848264052961,0,9450,0,NA,0
209,"Construction","Cargo_Van","Rural",20,30,70,0.884307989967056,0.0885192297957023,0,7840,0,NA,0
210,"Construction","Cargo_Van","Suburban",18,28,26,0.81831765291281,0.114891798468959,0,9800,0,NA,0
211,"Retail","Light_Truck","Urban",27,20,67,0.657888996880502,0.103913567057275,0,7560,0,NA,0
212,"Logistics","Light_Truck","Urban",45,7,26,0.948474024073221,0.242003147242282,1,11340,4015.0355882903,4015.0355882903,4233.1529239438
213,"Construction","Box_Truck","Suburban",18,17,52,0.968861738801934,0.190439463378908,0,14700,0,NA,0
214,"Professional","Light_Truck","Urban",25,32,29,0.758239698479883,0.0824016992323013,1,6804,1804.11996272949,1804.11996272949,2379.35308101961
215,"Construction","Cargo_Van","Suburban",47,30,27,0.786934868083335,0.140153100005642,0,9800,0,NA,0
216,"Professional","Delivery_Truck","Suburban",19,1,56,0.604866366018541,0.0599966948453791,0,8190,0,NA,0
217,"Logistics","Light_Truck","Suburban",14,39,70,0.516877715475857,0.0677316558359563,0,9450,0,NA,0
218,"Logistics","Cargo_Van","Rural",1,15,29,0.723316498566419,0.0645053653421532,0,8400,0,NA,0
219,"Professional","Light_Truck","Urban",1,36,24,0.758271817234345,0.0652075849230675,1,6804,8859.47548398924,8859.47548398924,11683.7726032104
220,"Healthcare","Light_Truck","Rural",27,31,52,0.647952149040066,0.0429844976151689,0,5544,0,NA,0
221,"Logistics","Cargo_Van","Urban",6,38,63,0.666849093511701,0.134436777251959,1,12600,12407.0353877039,12407.0353877039,18605.4618779897
222,"Healthcare","Cargo_Van","Urban",44,35,41,0.697738030343316,0.126220809689106,0,9240,0,NA,0
223,"Professional","Cargo_Van","Rural",24,12,47,0.707809759303927,0.0395382531547174,0,5040,0,NA,0
224,"Professional","Box_Truck","Rural",13,30,47,0.678575371159241,0.0479467785753696,0,7560,0,NA,0
225,"Construction","Light_Truck","Suburban",30,16,26,0.829590852488764,0.116474555689422,0,8820,0,NA,0
226,"Logistics","Delivery_Truck","Suburban",17,14,33,0.697780158836395,0.135885708131799,0,13650,0,NA,0
227,"Retail","Light_Truck","Suburban",32,6,22,0.918076604953967,0.100804811223946,0,6300,0,NA,0
228,"Retail","Cargo_Van","Urban",19,5,44,0.532246653921902,0.087022327916231,0,8400,0,NA,0
229,"Professional","Cargo_Van","Urban",46,35,45,0.94354175508488,0.134737762626121,0,7560,0,NA,0
230,"Healthcare","Cargo_Van","Urban",17,38,36,0.66098610078916,0.0954794422589941,0,9240,0,NA,0
231,"Retail","Light_Truck","Urban",34,15,21,0.525774412788451,0.0880146367007867,0,7560,0,NA,0
232,"Logistics","Cargo_Van","Rural",41,19,62,0.528958694543689,0.0679077172055189,1,8400,4439.09235598597,4439.09235598597,8392.1342096766
233,"Retail","Box_Truck","Urban",14,23,35,0.777457434800453,0.169796703760419,0,12600,0,NA,0
234,"Construction","Light_Truck","Rural",37,29,64,0.670933522516862,0.0697858084775463,1,7056,12624.6149042223,12624.6149042223,18816.491471262
235,"Logistics","Light_Truck","Suburban",32,35,66,0.533610886195675,0.0820266654259991,0,9450,0,NA,0
236,"Logistics","Delivery_Truck","Urban",42,18,41,0.698237985488959,0.251617040450801,0,16380,0,NA,0
237,"Construction","Light_Truck","Rural",20,34,66,0.903377421665937,0.0813852719178842,0,7056,0,NA,0
238,"Professional","Cargo_Van","Suburban",13,32,60,0.840012370492332,0.0605648919124971,0,6300,0,NA,0
239,"Construction","Cargo_Van","Suburban",18,20,32,0.58834270585794,0.0826033159024548,0,9800,0,NA,0
240,"Professional","Light_Truck","Urban",5,37,61,0.939524066983722,0.0843457731134637,0,6804,0,NA,0
241,"Retail","Cargo_Van","Urban",6,8,32,0.581633416702971,0.0837552120052278,0,8400,0,NA,0
242,"Professional","Light_Truck","Rural",14,30,40,0.757120139198378,0.0347245580641944,0,4536,0,NA,0
243,"Construction","Cargo_Van","Urban",21,32,37,0.521189564140514,0.112811481158214,0,11760,0,NA,0
244,"Retail","Light_Truck","Urban",35,14,58,0.712202409282327,0.120184156566393,0,7560,0,NA,0
